type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,16/03/2024 08:00:47,28.04773667,-16.71905333,2.00,42,,1,127,18,37,20240316-080047,GPS Logger: 20240316-080047 - Ferry
T,16/03/2024 08:00:50,28.04772500,-16.71903000,2.00,42,,1,120,18,37,,
T,16/03/2024 08:00:53,28.04772167,-16.71900000,2.20,43,,1,119,20,37,,
T,16/03/2024 08:00:56,28.04768167,-16.71899000,2.00,44,,1,139,22,39,,
T,16/03/2024 08:00:59,28.04765833,-16.71896333,1.70,44,,0,121,22,39,,
T,16/03/2024 08:01:02,28.04764000,-16.71893333,1.60,44,,1,159,22,40,,
T,16/03/2024 08:01:05,28.04761333,-16.71889667,1.90,43,,1,128,22,40,,
T,16/03/2024 08:01:08,28.04757167,-16.71886667,2.10,42,,1,147,20,40,,
T,16/03/2024 08:01:11,28.04755167,-16.71884167,1.90,42,,1,153,21,40,,
T,16/03/2024 08:01:14,28.04751833,-16.71882167,2.20,42,,1,148,21,40,,
T,16/03/2024 08:01:17,28.04749500,-16.71880667,2.20,42,,1,156,22,40,,
T,16/03/2024 08:01:20,28.04746667,-16.71879667,1.90,43,,1,173,22,40,,
T,16/03/2024 08:01:23,28.04742667,-16.71879333,2.00,44,,1,182,22,40,,
T,16/03/2024 08:01:26,28.04738000,-16.71878667,2.10,45,,1,164,22,40,,
T,16/03/2024 08:01:29,28.04734833,-16.71876500,1.90,46,,1,161,21,40,,
T,16/03/2024 08:01:32,28.04731667,-16.71875167,2.20,48,,1,165,21,40,,
T,16/03/2024 08:01:35,28.04729333,-16.71874500,2.20,49,,1,156,21,39,,
T,16/03/2024 08:01:38,28.04728333,-16.71876167,2.40,50,,0,191,18,39,,
T,16/03/2024 08:01:41,28.04727667,-16.71875000,2.70,50,,0,,18,39,,
T,16/03/2024 08:01:44,28.04727333,-16.71872500,3.30,51,,0,,9,39,,
T,16/03/2024 08:01:47,28.04733167,-16.71874500,4.00,51,,0,,7,38,,
T,16/03/2024 08:01:50,28.04732833,-16.71877333,4.70,52,,0,,6,38,,
T,16/03/2024 08:01:53,28.04730167,-16.71877167,5.20,52,,0,,6,38,,
T,16/03/2024 08:01:56,28.04726833,-16.71878333,5.60,53,,0,,6,39,,
T,16/03/2024 08:01:59,28.04726833,-16.71871500,5.90,53,,0,,5,39,,
T,16/03/2024 08:02:02,28.04726333,-16.71866833,41.00,54,,0,,3,39,,
T,16/03/2024 08:02:05,28.04723833,-16.71866167,48.80,55,,0,,3,39,,
T,16/03/2024 08:02:08,28.04720333,-16.71868000,58.00,55,,0,,3,39,,
T,16/03/2024 08:02:11,28.04717333,-16.71866833,68.00,55,,0,,3,39,,
T,16/03/2024 08:02:14,28.04717833,-16.71866833,79.00,55,,0,,3,38,,
T,16/03/2024 08:02:17,28.04715833,-16.71864833,87.60,56,,0,,3,40,,
T,16/03/2024 08:02:20,28.04713833,-16.71864333,9.70,56,,0,,4,40,,
T,16/03/2024 08:02:37,28.04686833,-16.71861500,9.70,57,,0,,4,40,,
T,16/03/2024 08:02:40,28.04689000,-16.71869333,8.90,58,,0,,5,40,,
T,16/03/2024 08:02:43,28.04704333,-16.71887667,8.40,58,,0,,4,40,,
T,16/03/2024 08:02:46,28.04712167,-16.71898833,70.50,58,,0,,3,39,,
T,16/03/2024 08:02:49,28.04720167,-16.71908333,76.80,57,,0,,3,40,,
T,16/03/2024 08:02:52,28.04728000,-16.71914833,80.00,57,,0,,3,40,,
T,16/03/2024 08:02:56,28.04738667,-16.71920000,91.60,57,,0,,3,39,,
T,16/03/2024 08:02:59,28.04748500,-16.71918833,8.70,57,,0,,6,40,,
T,16/03/2024 08:03:02,28.04757500,-16.71912167,7.40,57,,0,,7,40,,
T,16/03/2024 08:03:05,28.04759167,-16.71890833,6.70,58,,0,,7,40,,
T,16/03/2024 08:03:08,28.04759333,-16.71880333,6.60,58,,0,,6,40,,
T,16/03/2024 08:03:11,28.04757667,-16.71876333,6.70,58,,0,,7,40,,
T,16/03/2024 08:03:14,28.04752500,-16.71875333,6.80,58,,0,,6,40,,
T,16/03/2024 08:03:17,28.04749667,-16.71874667,7.10,58,,0,,4,39,,
T,16/03/2024 08:03:20,28.04746167,-16.71874833,7.50,58,,0,,4,40,,
T,16/03/2024 08:03:23,28.04739667,-16.71872000,64.10,58,,0,,3,40,,
T,16/03/2024 08:03:53,28.04746500,-16.71842833,7.00,26,,0,,5,40,,
T,16/03/2024 08:03:56,28.04737167,-16.71834500,6.00,26,,0,,5,39,,
T,16/03/2024 08:03:59,28.04734667,-16.71834500,5.50,38,,0,,6,39,,
T,16/03/2024 08:04:02,28.04733167,-16.71835167,5.00,46,,0,,7,40,,
T,16/03/2024 08:04:05,28.04731833,-16.71835667,4.70,51,,0,,9,40,,
T,16/03/2024 08:04:08,28.04730333,-16.71836167,4.40,53,,0,,9,40,,
T,16/03/2024 08:04:11,28.04729167,-16.71834167,4.30,56,,0,,8,40,,
T,16/03/2024 08:04:14,28.04727833,-16.71830167,3.80,62,,0,,9,40,,
T,16/03/2024 08:04:17,28.04728500,-16.71827167,4.00,63,,0,,8,40,,
T,16/03/2024 08:04:20,28.04729667,-16.71827667,4.20,63,,0,,7,40,,
T,16/03/2024 08:04:23,28.04735000,-16.71831000,4.70,62,,0,,6,40,,
T,16/03/2024 08:04:26,28.04735333,-16.71831333,4.80,61,,0,,7,40,,
T,16/03/2024 08:04:29,28.04738167,-16.71833833,4.50,59,,0,,7,40,,
T,16/03/2024 08:04:32,28.04739667,-16.71835333,4.40,60,,0,,9,40,,
T,16/03/2024 08:04:35,28.04736000,-16.71833000,4.30,61,,0,,10,40,,
T,16/03/2024 08:04:38,28.04730833,-16.71827500,3.50,63,,0,,11,40,,
T,16/03/2024 08:04:41,28.04732333,-16.71828833,3.50,62,,0,,8,40,,
T,16/03/2024 08:04:44,28.04733833,-16.71830167,3.80,62,,0,,7,40,,
T,16/03/2024 08:04:47,28.04734833,-16.71832500,4.20,62,,0,,6,40,,
T,16/03/2024 08:04:50,28.04734667,-16.71832500,4.40,62,,0,,8,40,,
T,16/03/2024 08:04:53,28.04732833,-16.71830833,4.30,62,,0,,10,40,,
T,16/03/2024 08:04:56,28.04729000,-16.71828833,3.00,62,,0,,11,40,,
T,16/03/2024 08:04:59,28.04728833,-16.71829500,2.60,66,,0,293,14,40,,
T,16/03/2024 08:05:02,28.04733333,-16.71832333,2.40,67,,0,308,17,40,,
T,16/03/2024 08:05:05,28.04735667,-16.71835500,2.30,69,,0,309,19,40,,
T,16/03/2024 08:05:08,28.04734833,-16.71837667,2.10,71,,0,294,19,40,,
T,16/03/2024 08:05:11,28.04733833,-16.71839667,2.10,72,,0,235,20,40,,
T,16/03/2024 08:05:14,28.04732833,-16.71840500,2.00,73,,0,,19,40,,
T,16/03/2024 08:05:17,28.04732333,-16.71840500,1.90,73,,0,,20,40,,
T,16/03/2024 08:05:20,28.04732333,-16.71840500,1.90,73,,0,,20,40,,
T,16/03/2024 08:05:23,28.04732333,-16.71840500,2.00,73,,0,,19,40,,
T,16/03/2024 08:05:26,28.04732333,-16.71840500,2.00,73,,0,,19,40,,
T,16/03/2024 08:05:29,28.04732333,-16.71840500,1.90,73,,0,,20,40,,
T,16/03/2024 08:05:32,28.04732333,-16.71840500,1.90,73,,0,,20,40,,
T,16/03/2024 08:05:35,28.04732333,-16.71840500,1.80,73,,0,,20,40,,
T,16/03/2024 08:05:38,28.04732333,-16.71840500,1.80,73,,0,,20,40,,
T,16/03/2024 08:05:41,28.04732333,-16.71840500,1.90,73,,0,,21,40,,
T,16/03/2024 08:05:44,28.04732333,-16.71840500,1.80,73,,0,,21,40,,
T,16/03/2024 08:05:47,28.04732333,-16.71840500,1.80,73,,0,,21,40,,
T,16/03/2024 08:05:50,28.04732333,-16.71840500,1.80,73,,0,,20,41,,
T,16/03/2024 08:05:53,28.04732333,-16.71840500,1.80,73,,0,,20,41,,
T,16/03/2024 08:05:56,28.04732333,-16.71840500,1.80,73,,0,,22,41,,
T,16/03/2024 08:05:59,28.04732333,-16.71840500,1.70,73,,0,,22,41,,
T,16/03/2024 08:06:02,28.04732333,-16.71840500,1.60,73,,0,,23,41,,
T,16/03/2024 08:06:05,28.04737500,-16.71850000,1.70,70,,0,,23,41,,
T,16/03/2024 08:06:08,28.04737833,-16.71850667,1.60,69,,0,,23,41,,
T,16/03/2024 08:06:11,28.04737833,-16.71850667,1.60,69,,0,,23,41,,
T,16/03/2024 08:06:14,28.04737833,-16.71850667,1.60,69,,0,,23,41,,
T,16/03/2024 08:06:17,28.04737833,-16.71850667,1.60,69,,0,,23,41,,
T,16/03/2024 08:06:20,28.04737833,-16.71850667,1.50,69,,0,,22,41,,
T,16/03/2024 08:06:23,28.04737833,-16.71850667,1.50,69,,0,,22,41,,
T,16/03/2024 08:06:26,28.04737833,-16.71850667,1.60,69,,0,,23,41,,
T,16/03/2024 08:06:29,28.04737833,-16.71850667,1.60,69,,0,,24,41,,
T,16/03/2024 08:06:32,28.04737833,-16.71850667,1.60,69,,0,,23,41,,
T,16/03/2024 08:06:35,28.04737833,-16.71850667,1.50,69,,0,,24,41,,
T,16/03/2024 08:06:38,28.04737833,-16.71850667,1.60,69,,0,,24,41,,
T,16/03/2024 08:06:41,28.04737833,-16.71850667,1.60,69,,0,,25,41,,
T,16/03/2024 08:06:44,28.04737833,-16.71850667,1.60,69,,0,,23,41,,
T,16/03/2024 08:06:47,28.04737833,-16.71850667,1.60,69,,0,,24,41,,
T,16/03/2024 08:06:50,28.04737833,-16.71850667,1.60,69,,0,,25,41,,
T,16/03/2024 08:06:53,28.04737833,-16.71850667,1.70,69,,0,,25,41,,
T,16/03/2024 08:06:56,28.04737833,-16.71850667,1.70,69,,0,,25,41,,
T,16/03/2024 08:06:59,28.04737833,-16.71850667,1.70,69,,0,,24,41,,
T,16/03/2024 08:07:02,28.04737833,-16.71850667,1.70,69,,0,,23,41,,
T,16/03/2024 08:07:05,28.04737833,-16.71850667,1.70,69,,0,,24,41,,
T,16/03/2024 08:07:08,28.04737833,-16.71850667,1.80,69,,0,,24,41,,
T,16/03/2024 08:07:11,28.04737833,-16.71850667,2.00,69,,0,,21,41,,
T,16/03/2024 08:07:14,28.04737833,-16.71850667,2.10,69,,0,,26,41,,
T,16/03/2024 08:07:17,28.04732333,-16.71843000,1.80,63,,0,117,27,41,,
T,16/03/2024 08:07:20,28.04729500,-16.71838833,1.80,62,,0,115,27,41,,
T,16/03/2024 08:07:23,28.04727000,-16.71836333,1.80,62,,0,120,27,41,,
T,16/03/2024 08:07:26,28.04724667,-16.71835833,1.70,62,,0,132,27,41,,
T,16/03/2024 08:07:29,28.04723500,-16.71835667,1.70,62,,0,148,27,41,,
T,16/03/2024 08:07:32,28.04722500,-16.71835500,1.70,62,,0,137,27,41,,
T,16/03/2024 08:07:35,28.04722667,-16.71834833,1.60,61,,0,,26,41,,
T,16/03/2024 08:07:38,28.04723500,-16.71834667,1.70,60,,0,,25,41,,
T,16/03/2024 08:07:41,28.04723500,-16.71834667,1.70,60,,0,,26,41,,
T,16/03/2024 08:07:44,28.04723500,-16.71834667,1.70,60,,0,,24,42,,
T,16/03/2024 08:07:47,28.04723500,-16.71834667,1.70,60,,0,,25,42,,
T,16/03/2024 08:07:50,28.04723500,-16.71834667,1.60,60,,0,,26,42,,
T,16/03/2024 08:07:53,28.04723500,-16.71834667,1.60,60,,0,,26,42,,
T,16/03/2024 08:07:56,28.04723500,-16.71834667,1.60,60,,0,,26,42,,
T,16/03/2024 08:07:59,28.04723500,-16.71834667,1.60,60,,0,,26,42,,
T,16/03/2024 08:08:02,28.04723500,-16.71834667,1.60,60,,0,,24,42,,
T,16/03/2024 08:08:05,28.04723500,-16.71834667,1.60,60,,0,,25,42,,
T,16/03/2024 08:08:08,28.04723500,-16.71834667,1.70,60,,0,,25,42,,
T,16/03/2024 08:08:11,28.04715667,-16.71835167,1.70,59,,0,138,24,42,,
T,16/03/2024 08:08:14,28.04717000,-16.71833333,1.70,59,,0,108,26,42,,
T,16/03/2024 08:08:17,28.04716833,-16.71832333,1.60,59,,0,119,25,42,,
T,16/03/2024 08:08:20,28.04717333,-16.71833000,1.60,59,,0,,24,42,,
T,16/03/2024 08:08:23,28.04717333,-16.71833000,1.60,59,,0,,24,42,,
T,16/03/2024 08:08:26,28.04717333,-16.71833000,1.60,59,,0,,24,42,,
T,16/03/2024 08:08:29,28.04717333,-16.71833000,1.60,59,,0,,22,42,,
T,16/03/2024 08:08:32,28.04717333,-16.71833000,1.60,59,,0,,24,42,,
T,16/03/2024 08:08:35,28.04717333,-16.71833000,1.70,59,,0,,25,42,,
T,16/03/2024 08:08:38,28.04717333,-16.71833000,1.60,59,,0,,26,42,,
T,16/03/2024 08:08:41,28.04717333,-16.71833000,1.60,59,,0,,25,42,,
T,16/03/2024 08:08:44,28.04717333,-16.71833000,1.60,59,,0,,26,42,,
T,16/03/2024 08:08:47,28.04717333,-16.71833000,1.60,59,,0,,24,41,,
T,16/03/2024 08:08:50,28.04717333,-16.71833000,1.70,59,,0,,23,41,,
T,16/03/2024 08:08:53,28.04717333,-16.71833000,1.60,59,,0,,23,41,,
T,16/03/2024 08:08:56,28.04717333,-16.71833000,1.60,59,,0,,23,41,,
T,16/03/2024 08:08:59,28.04717333,-16.71833000,1.60,59,,0,,23,41,,
T,16/03/2024 08:09:02,28.04726500,-16.71835500,1.70,59,,0,,25,41,,
T,16/03/2024 08:09:05,28.04727167,-16.71834667,1.70,58,,0,,26,41,,
T,16/03/2024 08:09:08,28.04727167,-16.71834667,1.60,58,,0,,25,41,,
T,16/03/2024 08:09:11,28.04727167,-16.71834667,1.60,58,,0,,25,41,,
T,16/03/2024 08:09:14,28.04727167,-16.71834667,1.50,58,,0,,24,41,,
T,16/03/2024 08:09:17,28.04727167,-16.71834667,1.50,58,,0,,27,41,,
T,16/03/2024 08:09:20,28.04727167,-16.71834667,1.40,58,,0,,27,41,,
T,16/03/2024 08:09:23,28.04727167,-16.71834667,1.50,58,,0,,26,41,,
T,16/03/2024 08:09:26,28.04727167,-16.71834667,1.50,58,,0,,25,41,,
T,16/03/2024 08:09:29,28.04727167,-16.71834667,1.50,58,,0,,26,41,,
T,16/03/2024 08:09:32,28.04727167,-16.71834667,1.50,58,,0,,26,41,,
T,16/03/2024 08:09:35,28.04727167,-16.71834667,1.50,58,,0,,26,41,,
T,16/03/2024 08:09:38,28.04727167,-16.71834667,1.50,58,,0,,27,41,,
T,16/03/2024 08:09:41,28.04727167,-16.71834667,1.40,58,,0,,27,41,,
T,16/03/2024 08:09:44,28.04727167,-16.71834667,1.50,58,,0,,25,41,,
T,16/03/2024 08:09:47,28.04727167,-16.71834667,1.60,58,,0,,26,41,,
T,16/03/2024 08:09:50,28.04727167,-16.71834667,1.70,58,,0,,27,41,,
T,16/03/2024 08:09:53,28.04727167,-16.71834667,1.60,58,,0,,27,41,,
T,16/03/2024 08:09:56,28.04727167,-16.71834667,1.50,58,,0,,26,41,,
T,16/03/2024 08:09:59,28.04727167,-16.71834667,1.50,58,,0,,26,41,,
T,16/03/2024 08:10:02,28.04727167,-16.71834667,1.60,58,,0,,27,41,,
T,16/03/2024 08:10:05,28.04728000,-16.71832500,1.60,57,,0,,26,42,,
T,16/03/2024 08:10:08,28.04727167,-16.71831833,1.70,57,,0,,27,42,,
T,16/03/2024 08:10:11,28.04723333,-16.71830000,1.70,57,,0,127,25,42,,
T,16/03/2024 08:10:14,28.04721667,-16.71830667,1.70,57,,0,,26,42,,
T,16/03/2024 08:10:17,28.04721667,-16.71830667,1.60,57,,0,,26,42,,
T,16/03/2024 08:10:20,28.04721667,-16.71830667,1.70,57,,0,,25,42,,
T,16/03/2024 08:10:23,28.04721667,-16.71830667,1.70,57,,0,,27,42,,
T,16/03/2024 08:10:26,28.04721667,-16.71830667,1.60,57,,0,,27,42,,
T,16/03/2024 08:10:29,28.04725833,-16.71834333,1.70,57,,0,292,24,42,,
T,16/03/2024 08:10:32,28.04727500,-16.71836333,1.70,57,,0,305,27,42,,
T,16/03/2024 08:10:35,28.04729167,-16.71837833,1.70,57,,0,321,27,42,,
T,16/03/2024 08:10:38,28.04732333,-16.71838833,1.60,56,,0,327,27,42,,
T,16/03/2024 08:10:41,28.04733000,-16.71839000,1.60,56,,0,327,27,42,,
T,16/03/2024 08:10:44,28.04733167,-16.71839500,1.60,56,,0,,25,42,,
T,16/03/2024 08:10:47,28.04733167,-16.71839500,1.60,56,,0,,24,42,,
T,16/03/2024 08:10:50,28.04733167,-16.71839500,1.60,56,,0,,24,42,,
T,16/03/2024 08:10:53,28.04733167,-16.71839500,1.60,56,,0,,25,42,,
T,16/03/2024 08:10:56,28.04733167,-16.71839500,1.70,56,,0,,23,41,,
T,16/03/2024 08:10:59,28.04733167,-16.71839500,1.60,56,,0,,25,42,,
T,16/03/2024 08:11:02,28.04733167,-16.71839500,1.60,56,,0,,25,42,,
T,16/03/2024 08:11:05,28.04733167,-16.71839500,1.60,56,,0,,24,42,,
T,16/03/2024 08:11:08,28.04733167,-16.71839500,1.50,56,,0,,25,42,,
T,16/03/2024 08:11:11,28.04733167,-16.71839500,1.50,56,,0,,24,42,,
T,16/03/2024 08:11:14,28.04733167,-16.71839500,1.50,56,,0,,25,42,,
T,16/03/2024 08:11:17,28.04733167,-16.71839500,1.50,56,,0,,23,41,,
T,16/03/2024 08:11:20,28.04733167,-16.71839500,1.50,56,,0,,24,42,,
T,16/03/2024 08:11:23,28.04733167,-16.71839500,1.50,56,,0,,26,42,,
T,16/03/2024 08:11:26,28.04733167,-16.71839500,1.50,56,,0,,26,41,,
T,16/03/2024 08:11:29,28.04733167,-16.71839500,1.50,56,,0,,25,42,,
T,16/03/2024 08:11:32,28.04733167,-16.71839500,1.50,56,,0,,24,42,,
T,16/03/2024 08:11:35,28.04733167,-16.71839500,1.50,56,,0,,25,42,,
T,16/03/2024 08:11:38,28.04733167,-16.71839500,1.50,56,,0,,26,42,,
T,16/03/2024 08:11:41,28.04733167,-16.71839500,1.50,56,,0,,26,42,,
T,16/03/2024 08:11:44,28.04733167,-16.71839500,1.50,56,,0,,25,42,,
T,16/03/2024 08:11:47,28.04733167,-16.71839500,1.50,56,,0,,28,42,,
T,16/03/2024 08:11:50,28.04733167,-16.71839500,1.50,56,,0,,27,42,,
T,16/03/2024 08:11:53,28.04733167,-16.71839500,1.50,56,,0,,26,42,,
T,16/03/2024 08:11:56,28.04733167,-16.71839500,1.50,56,,0,,27,42,,
T,16/03/2024 08:11:59,28.04733167,-16.71839500,1.50,56,,0,,25,42,,
T,16/03/2024 08:12:02,28.04733167,-16.71839500,1.50,56,,0,,25,42,,
T,16/03/2024 08:12:05,28.04733167,-16.71839500,1.50,56,,0,,26,42,,
T,16/03/2024 08:12:08,28.04733167,-16.71839500,1.50,56,,0,,22,42,,
T,16/03/2024 08:12:11,28.04733167,-16.71839500,1.60,56,,0,,23,42,,
T,16/03/2024 08:12:14,28.04733167,-16.71839500,1.60,56,,0,,26,42,,
T,16/03/2024 08:12:17,28.04733167,-16.71839500,1.60,56,,0,,25,42,,
T,16/03/2024 08:12:20,28.04733167,-16.71839500,1.60,56,,0,,26,42,,
T,16/03/2024 08:12:23,28.04733167,-16.71839500,1.50,56,,0,,25,42,,
T,16/03/2024 08:12:26,28.04733167,-16.71839500,1.60,56,,0,,27,42,,
T,16/03/2024 08:12:29,28.04733167,-16.71839500,1.70,56,,0,,27,42,,
T,16/03/2024 08:12:32,28.04733167,-16.71839500,1.60,56,,0,,25,42,,
T,16/03/2024 08:12:35,28.04733167,-16.71839500,1.70,56,,0,,25,42,,
T,16/03/2024 08:12:38,28.04733167,-16.71839500,1.70,56,,0,,25,41,,
T,16/03/2024 08:12:41,28.04733167,-16.71839500,1.70,56,,0,,25,41,,
T,16/03/2024 08:12:44,28.04733167,-16.71839500,1.70,56,,0,,25,41,,
T,16/03/2024 08:12:47,28.04733167,-16.71839500,1.70,56,,0,,25,41,,
T,16/03/2024 08:12:50,28.04733167,-16.71839500,1.70,56,,0,,24,41,,
T,16/03/2024 08:12:53,28.04733167,-16.71839500,1.80,56,,0,,24,41,,
T,16/03/2024 08:12:56,28.04733167,-16.71839500,1.70,56,,0,,24,41,,
T,16/03/2024 08:12:59,28.04733167,-16.71839500,1.60,56,,0,,26,41,,
T,16/03/2024 08:13:02,28.04723833,-16.71841000,1.70,55,,0,,26,41,,
T,16/03/2024 08:13:05,28.04723667,-16.71840667,1.70,55,,0,,27,41,,
T,16/03/2024 08:13:08,28.04723667,-16.71840667,1.60,55,,0,,20,41,,
T,16/03/2024 08:13:11,28.04723667,-16.71840667,1.60,55,,0,,24,41,,
T,16/03/2024 08:13:14,28.04723667,-16.71840667,1.60,55,,0,,25,41,,
T,16/03/2024 08:13:17,28.04723667,-16.71840667,1.60,55,,0,,24,41,,
T,16/03/2024 08:13:20,28.04723667,-16.71840667,1.60,55,,0,,26,41,,
T,16/03/2024 08:13:23,28.04723667,-16.71840667,1.60,55,,0,,26,41,,
T,16/03/2024 08:13:26,28.04723667,-16.71840667,1.60,55,,0,,26,41,,
T,16/03/2024 08:13:29,28.04723667,-16.71840667,1.60,55,,0,,28,41,,
T,16/03/2024 08:13:32,28.04723667,-16.71840667,1.60,55,,0,,25,41,,
T,16/03/2024 08:13:35,28.04723667,-16.71840667,1.70,55,,0,,26,41,,
T,16/03/2024 08:13:38,28.04723667,-16.71840667,1.60,55,,0,,28,41,,
T,16/03/2024 08:13:41,28.04723667,-16.71840667,1.60,55,,0,,28,41,,
T,16/03/2024 08:13:44,28.04723667,-16.71840667,1.60,55,,0,,27,41,,
T,16/03/2024 08:13:47,28.04723667,-16.71840667,1.60,55,,0,,28,41,,
T,16/03/2024 08:13:50,28.04723667,-16.71840667,1.60,55,,0,,28,41,,
T,16/03/2024 08:13:53,28.04720333,-16.71844000,1.70,54,,0,,28,41,,
T,16/03/2024 08:13:56,28.04720500,-16.71843833,1.80,54,,0,,26,41,,
T,16/03/2024 08:13:59,28.04720500,-16.71843833,1.70,54,,0,,26,41,,
T,16/03/2024 08:14:02,28.04720500,-16.71843833,1.70,54,,0,,25,41,,
T,16/03/2024 08:14:05,28.04720500,-16.71843833,1.70,54,,0,,26,41,,
T,16/03/2024 08:14:08,28.04720500,-16.71843833,1.60,54,,0,,27,40,,
T,16/03/2024 08:14:11,28.04720500,-16.71843833,1.60,54,,0,,25,41,,
T,16/03/2024 08:14:14,28.04720500,-16.71843833,1.60,54,,0,,26,41,,
T,16/03/2024 08:14:17,28.04720500,-16.71843833,1.60,54,,0,,23,41,,
T,16/03/2024 08:14:20,28.04720500,-16.71843833,1.60,54,,0,,26,41,,
T,16/03/2024 08:14:23,28.04729833,-16.71842500,1.60,55,,0,,24,41,,
T,16/03/2024 08:14:26,28.04730667,-16.71842333,1.60,54,,0,,25,40,,
T,16/03/2024 08:14:29,28.04730667,-16.71842333,1.60,54,,0,,25,41,,
T,16/03/2024 08:14:32,28.04730667,-16.71842333,1.60,54,,0,,25,41,,
T,16/03/2024 08:14:35,28.04730667,-16.71842333,1.50,54,,0,,25,41,,
T,16/03/2024 08:14:38,28.04730667,-16.71842333,1.50,54,,0,,23,41,,
T,16/03/2024 08:14:41,28.04730667,-16.71842333,1.50,54,,0,,27,41,,
T,16/03/2024 08:14:44,28.04730667,-16.71842333,1.50,54,,0,,26,40,,
T,16/03/2024 08:14:47,28.04730667,-16.71842333,1.50,54,,0,,24,40,,
T,16/03/2024 08:14:50,28.04730667,-16.71842333,1.50,54,,0,,26,40,,
T,16/03/2024 08:14:53,28.04730667,-16.71842333,1.50,54,,0,,26,40,,
T,16/03/2024 08:14:56,28.04730667,-16.71842333,1.50,54,,0,,28,40,,
T,16/03/2024 08:14:59,28.04730667,-16.71842333,1.40,54,,0,,28,40,,
T,16/03/2024 08:15:02,28.04730667,-16.71842333,1.40,54,,0,,28,40,,
T,16/03/2024 08:15:05,28.04730667,-16.71842333,1.40,54,,0,,28,40,,
T,16/03/2024 08:15:08,28.04730667,-16.71842333,1.40,54,,0,,28,40,,
T,16/03/2024 08:15:11,28.04730667,-16.71842333,1.40,54,,0,,28,40,,
T,16/03/2024 08:15:14,28.04730667,-16.71842333,1.40,54,,0,,28,40,,
T,16/03/2024 08:15:17,28.04730667,-16.71842333,1.40,54,,0,,28,40,,
T,16/03/2024 08:15:20,28.04735000,-16.71848000,1.50,53,,0,305,28,40,,
T,16/03/2024 08:15:23,28.04735667,-16.71850333,1.60,53,,0,298,28,40,,
T,16/03/2024 08:15:26,28.04736833,-16.71851333,1.60,55,,0,305,28,40,,
T,16/03/2024 08:15:29,28.04737167,-16.71851000,1.60,56,,0,315,27,40,,
T,16/03/2024 08:15:32,28.04737667,-16.71850833,1.60,56,,0,,27,40,,
T,16/03/2024 08:15:35,28.04738000,-16.71850667,1.60,56,,0,,28,40,,
T,16/03/2024 08:15:38,28.04738000,-16.71850667,1.50,56,,0,,27,40,,
T,16/03/2024 08:15:41,28.04738000,-16.71850667,1.50,56,,0,,28,40,,
T,16/03/2024 08:15:44,28.04738000,-16.71850667,1.50,56,,0,,25,40,,
T,16/03/2024 08:15:47,28.04738000,-16.71850667,1.50,56,,0,,25,40,,
T,16/03/2024 08:15:50,28.04738000,-16.71850667,1.50,56,,0,,25,40,,
T,16/03/2024 08:15:53,28.04738000,-16.71850667,1.50,56,,0,,25,40,,
T,16/03/2024 08:15:56,28.04738000,-16.71850667,1.40,56,,0,,25,40,,
T,16/03/2024 08:15:59,28.04738000,-16.71850667,1.40,56,,0,,26,40,,
T,16/03/2024 08:16:02,28.04738000,-16.71850667,1.40,56,,0,,25,40,,
T,16/03/2024 08:16:05,28.04738000,-16.71850667,1.50,56,,0,,25,40,,
T,16/03/2024 08:16:08,28.04738000,-16.71850667,1.60,56,,0,,27,40,,
T,16/03/2024 08:16:11,28.04738000,-16.71850667,1.50,56,,0,,27,40,,
T,16/03/2024 08:16:14,28.04738000,-16.71850667,1.50,56,,0,,26,40,,
T,16/03/2024 08:16:17,28.04738000,-16.71850667,1.50,56,,0,,25,40,,
T,16/03/2024 08:16:20,28.04738000,-16.71850667,1.50,56,,0,,24,40,,
T,16/03/2024 08:16:23,28.04738000,-16.71850667,1.50,56,,0,,27,40,,
T,16/03/2024 08:16:26,28.04738000,-16.71850667,1.50,56,,0,,28,40,,
T,16/03/2024 08:16:29,28.04738000,-16.71850667,1.60,56,,0,,28,40,,
T,16/03/2024 08:16:32,28.04738000,-16.71850667,1.60,56,,0,,28,40,,
T,16/03/2024 08:16:35,28.04738000,-16.71850667,1.60,56,,0,,25,40,,
T,16/03/2024 08:16:38,28.04738000,-16.71850667,1.50,56,,0,,25,40,,
T,16/03/2024 08:16:41,28.04738000,-16.71850667,1.50,56,,0,,26,40,,
T,16/03/2024 08:16:44,28.04738000,-16.71850667,1.50,56,,0,,27,40,,
T,16/03/2024 08:16:47,28.04738000,-16.71850667,1.40,56,,0,,28,40,,
T,16/03/2024 08:16:50,28.04738000,-16.71850667,1.50,56,,0,,27,40,,
T,16/03/2024 08:16:53,28.04738000,-16.71850667,1.50,56,,0,,26,40,,
T,16/03/2024 08:16:56,28.04738000,-16.71850667,1.60,56,,0,,26,40,,
T,16/03/2024 08:16:59,28.04738000,-16.71850667,1.50,56,,0,,27,40,,
T,16/03/2024 08:17:02,28.04738000,-16.71850667,1.50,56,,0,,26,40,,
T,16/03/2024 08:17:05,28.04738000,-16.71850667,1.60,56,,0,,25,40,,
T,16/03/2024 08:17:08,28.04738000,-16.71850667,1.50,56,,0,,27,40,,
T,16/03/2024 08:17:11,28.04738000,-16.71850667,1.50,56,,0,,28,40,,
